Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2020-01-01,Gurugram,E-commerce,Hardev Sahu,ah! Ventures,Series C,OwO,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",200000.0
2017-01-01,New Delhi,Finance,"Pallavi Shrivastava, Himanshu Chandra","Somak Ghosh, M V Nair",Series C,Progcap,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile.,1000000.0
2017-01-01,New Delhi,Hospitality,"Ankur Gupta, Akshita Gupta",Wurk,Venture - Series Unknown,ABL Workspaces,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,600000.0
2000-01-01,Mumbai,Gaming,Nitish Mittersain,"Plutus Wealth Management, Turtle Entertainment",Debt Financing,Nazara Technologies,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",10000000.0
2018-01-01,Mumbai,Personal Care,"Mahesh Bhupathi, Jinesh Mehta","Ambiga Subramanian, Goutham Ekollu",Series G,Scentials,Scentials is building a unique beauty brands studio platform,6000000.0
2018-01-01,Gurugram,EdTech,"Arpit Jain, Joy Deep Nath, Mayank Jain, Umang Jain","Accel, Owl Ventures",Series C,SplashLearn,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.,18000000.0
2016-01-01,Bengaluru,HealthTech,John Paul,Rajan Anadan,Seed,Maya,Maya enables women to keep track of their health via a mobile application.,2200000.0
2020-01-01,Ghaziabad,Transport,"Akhilesh Sagar, Harsh Vardhan Sharma",Jesse Lucas,Series E,GoTo,Real Time Intercity City Transit Platform For 1.25 Bn People In India,150000.0
2000-01-01,Bengaluru,HealthTech,"Byju Raveendran, Divya Gokulnath","IDFC Private Equity, Bessemer Venture Partners",Series B,MediBuddy,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,40000000.0
2018-01-01,Bengaluru,E-commerce,Kshama Fernandes,"Sequoia Capital India, Accel",Series D,Zetwerk,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,120000000.0
2017-01-01,Hyderabad,Healthcare,Ranjit Bhatia,"Venture Catalysts, Tahseen Consulting",Bridge,Remedico,Remedico is a Mobile healthcare,500000.0
2019-01-01,Gurugram,EdTech,"Aditya Bhushan Verma, Mamta Kumari",Equanimity Ventures,Bridge,PrepBytes,PrepBytes helps college students to learn coding by personalizing their content along with the guidance of expert mentors from industry,3000000.0
2017-01-01,New Delhi,Finance,Vivek Tiwari,Elevation Capital,Series A,SATYA MicroCapital,Satya MicroCapital is a micro finance company based on a group lending model that allows borrowers to share liability.,20000000.0
2020-01-01,Nagpur,HealthTech,"Dr Sheetal Mundhada, Ashutosh Mundhada","Better Capital, Titan Capital",Series B+,YourPhysio,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,350000.0
2016-01-01,New Delhi,Finance,Kajal Ilmi,Gojo & Company,Series C,Aviom Housing Finance,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,1000000.0
2017-01-01,Noida,Cannabis startup,Rohit Shah,Mumbai Angels,Seed,Hemp Horizons,Cannabis and Hemp company,200000.0
2018-01-01,Bengaluru,Gaming,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",Early Seed,MPL,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,95000000.0
2020-01-01,Bengaluru,Blogging,"Mayank Bidawatka, Aprameya Radhakrishna","3one4 Capital, Accel",Series A,Koo,Koo App operates as a microblogging app.,4100000.0
2016-01-01,Mumbai,Healthcare,Amit Malik,"Hitesh Oberoi, Lightbox",Series A,InnerHour,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,5200000.0
2010-01-01,Gurugram,AgriTech,"Sunoor Kaul, Mayank Dhanuka",YES Bank,Series C,Origo,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.",10000000.0
2018-01-01,Gurugram,Consulting,Nishant Behl,Campus Fund,Seed,ExMyB,ExMyB provides financial service and consulting services.,3000000.0
2015-01-01,New Delhi,BioTechnology,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,Fresh Funding,Elucidata,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,5000000.0
2019-01-01,Bengaluru,HealthTech,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global",Seed,Saveo,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,4000000.0
2019-01-01,Noida,EdTech,Ishan Gupta,Venture Catalysts,Series A+,Qin1,Re-imagining Kids of 21st Century!,3000000.0
2019-01-01,Gurugram,Finance,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment",Seed,DotPe,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.",8000000.0
2018-01-01,Bengaluru,B2B Marketplace,"Prashant Janadari, Naveen Ramchandra",Quess Corp India,Fresh Funding,Taskmo,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,1400000.0
2019-01-01,West Bengal,EdTech,"Suraj Juneja, Vijay Rachh, and Aaquib Hussain",Better Capital,Debt Financing,MasterMentors,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,1500000.0
2020-01-01,Mumbai,E-commerce,Shivam Varshney,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",Series I,KIKO TV,KIKO TV is an AI-based short live video e-commerce platform.,3000000.0
2018-01-01,Mumbai,Health care,Harddik K Patel,India Accelerator’s Angel Investor Network,Seed,Quali55Care,Deliver highly durable & affordable medical equipments on rental and sale.,3000000.0
2020-01-01,New Delhi,Finance,"Ankur Gupta, Akshita Gupta, Yashwardhan Aeren",Wurk,Series E,Ruptok,Ruptok operates as a fintech platform for gold loans,10000000.0
2018-01-01,New Delhi,Finance,Sameer Aggarwal,Shell Foundation,Seed Funding,RevFin,RevFin is a digital lending company.,3000000.0
2020-01-01,New Delhi,Tech Startup,"Shivam Sood, Lark Aakarshan",Jimmy Singh,Seed,SeeVC,Leverages artificial intelligence (AI) to build products for the education sector,1000000.0
2020-01-01,New Delhi,EdTech,Shankar Nath,"Kunal Shah, Deepak Abbot",Series D1,Junio,Junio is a kids-focused digital pocket money-smart card.,1000000.0
2020-01-01,Bengaluru,B2B service,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture",Seed,VenWiz,Digitising the interactions between core industry and vendors for engineering services,300000.0
2015-01-01,Mumbai,Hospitality,"Amit Damani, Ankita Sheth, Pranav Maheshwari","Singapore Angel Network, Artha India Ventures",Pre-Seed,Vista Rooms,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""",1000000.0
2018-01-01,Hyderabad,Tech Startup,Pranav Vempati,"Starfish Growth Partners, Investpad",Private Equity,Makers Hive,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable",9000000.0
2017-01-01,Bengaluru,Social audio,"Pratham Khandelwal, Yogesh Sharma",Hashed,Seed,Headfone,Headfone helps create and share the audio content with listeners.,3000000.0
2016-01-01,Mumbai,Fashion and lifestyle,Disha Singh,Titan Capital,Seed,Zouk,100% Vegan bags from India.,3000000.0
2018-01-01,Bengaluru,Gaming,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",Pre-Seed,MPL,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,5000000.0
2020-01-01,Bengaluru,Finance,"Ajinkya Kulkarni, Abhik Patel","Zerodha's Rainmatter Capital, Better Capital",Seed,GrowFix,Building high-yield Debt assets for retail investors,2000000.0
2016-01-01,New Delhi,Fashion and lifestyle,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Sixth Sense Ventures, Colgate Palmolive",Seed Round,Bombay Shaving Company,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.",6000000.0
2015-01-01,Bengaluru,Delivery service,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund",Series E,Dunzo,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,40000000.0
2020-01-01,Mumbai,EdTech,Payal Gaba,Tomorrow Capital,Seed,BeyondSkool,BeyondSkool is a live upskilling platform for kids,2000000.0
2015-01-01,New Delhi,EdTech,Prateek Bhargava,"Inflection Point Ventures, DLabs",Series E,Mindler,Mindler is a career counseling company that provides career development guidance counseling services for students.,1000000.0
2020-01-01,Gurugram,B2B Manufacturing,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital",Seed,Fashinza,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,2600000.0
2018-01-01,New Delhi,Finance,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",Seed Round,BharatPe,BharatPe develops a QR code-based payment app for offline retailers and businesses.,6000000.0
2020-01-01,Bengaluru,Gaming,"Aditya Sharma, Pooja Dubey",Elevation Capital,Seed,Turnip,Turnip is a live game streaming and community platform.,1600000.0
2012-01-01,Bengaluru,Home Decor,Ajith Karimpana,BlackSoil Capital,Series D,Furlenco,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,2000000.0
2015-01-01,New Delhi,Solar,"Himanshu Pokharna, Nitin Goel",Shell Foundation,Pre-Seed,Inficold,Provide uninterrupted and affordable cooling for refrigeration,900000.0
2020-01-01,New Delhi,TaaS startup,"Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC",Seed,KIWI,"A peer to peer support network, which would enable billions of users across the world",250000.0
2016-01-01,Bengaluru,Finance,Kamesh Goyal,"A91 Partners, Faering Capital",Series I,Digit Insurance,Digit Insurance is a financial services company that general insurance services.,3000000.0
2018-01-01,New Delhi,Finance,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",Series A,BharatPe,BharatPe develops a QR code-based payment app for offline retailers and businesses.,10000000.0
2017-01-01,Bengaluru,Health care,Nitish Mittersain,"Blockchain Capital, SBI Ven Capital",Series D1,MFine,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,16000000.0
2019-01-01,Gurugram,EdTech,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,Seed,Udayy,Interactive learning platform for kids,2500000.0
2017-01-01,Noida,EV startup,Rajat Verma,"Baring Private Equity Partners India, Talbros",Series F,Lohum,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,7000000.0
2015-01-01,Hyderabad,HR Tech,"Chaitanya Peddi, Jayant Paleti, Rohit Chennamaneni","Sequoia Capital India, 3one4 Capital",Debt Financing,Darwinbox,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform.,15000000.0
2012-01-01,Patna,AgriTech,"Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global",Series C,DeHaat,DeHaat connects farmers to suppliers and buyers on a single platform.,30000000.0
2014-01-01,Chennai,AgriTech,Anil Kumar,Y Combinator,Series I,Samunnati,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,10000000.0
2019-01-01,New Delhi,Finance,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar",Alteria Capital,Seed,Biconomy,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,1500000.0
2011-01-01,Pune,Food and Beverages,"Puru Gupta, Sreejith Moolayil",RP-Sanjiv Goenka Group,Series D,True Elements,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!",1000000.0
2020-01-01,Bengaluru,Finance,Sousthav Chakrabarty,Inflection Point Ventures,Seed,Siply,Siply Services operates as a micro-savings platform.,1000000.0
2016-01-01,New Delhi,Beverages,Bhavish Aggarwal,Sequoia Capital India,Series A,Nao Spirits & Beverages Pvt Ltd,India's first Craft Gin company,2000000.0
2019-01-01,Mumbai,EdTech,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,Seed,PurpleTutor,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,300000.0
2018-01-01,Mumbai,Manufacturing startup,Sonam Motwani,Zone Startups In,Seed,Karkhana.io,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,1500000.0
2019-01-01,Mumbai,Finance,Vikas Agarwal,Blue Ashva Capital,Series C,SSA Finserv,Small businesses-focused non-banking lender,3000000.0
2017-01-01,Bengaluru,Finance,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",Series A,CoinSwitch Kuber,Coinswitch.co is a cryptocurrency exchange aggregator platform.,15000000.0
2016-01-01,Bengaluru,E-commerce,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,Private Equity,Paperfly,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,11000000.0
2016-01-01,Thane,E-commerce,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,Series B+,Infra.Market,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,6000000.0
2018-01-01,Bengaluru,Transport,Vimal Singh SV,Satish Grampurohit,Seed,ReadyAssist,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",1000000.0
2014-01-01,Mumbai,IT,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",Series B,Chalo,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,7000000.0
2016-01-01,Bengaluru,E-commerce,"Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital",Series E,Udaan,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform",280000000.0
2015-01-01,Bengaluru,EdTech,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",Series I,Unacademy,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,50000000.0
2012-01-01,Samsitpur,AgriTech,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",Series A,Ergos,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,3000000.0
2018-01-01,Bengaluru,Social network,"Abhishek Tripathi, Dhruv Kaushal, Prince Tripathi, Saurabh Rai","GSF, Pras Hanuma",Bridge,Bolkar,Bolkar App is an Audio Based Q&A platform for the Next Billion Users.,3000000.0
2019-01-01,Mumbai,Advisory firm,Sonam Srivastava,"Ajat Hukkoo, Piyush Chaplot",Fresh Funding,Wright Research,Quantitative Investment Management and Research,3000000.0
2016-01-01,Lucknow,Media,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",Series I,Knocksense,Knocksense which owns and operates an eponymous digital content platform.,200000.0
2015-01-01,Pune,EdTech,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",Series G,Pariksha,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India",1800000.0
2018-01-01,Mumbai,Healthcare,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,Series A,Toothsi,ToothSi is a new age startup in the dental space providing smile correction services at home.,5000000.0
2015-01-01,Bengaluru,Food and Beverages,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",Pre-Seed,Jumbotail,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",14300000.0
2015-01-01,Pune,Finance,"Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT",Series A,Phi Commerce,"Payments Facilitator, Payments solution provider etc.",4000000.0
2018-01-01,Gurugram,Gaming,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",Series A+,Zupee,Zupee is a skill-based gaming app that enables its users to play against each-other live,10000000.0
2020-01-01,Chandigarh,Gaming,Avneet Singh,Trishneet Arora,Pre-Seed,Oneiric Gaming,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,3000000.0
2019-01-01,Bengaluru,Insuretech,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,Seed,Finsall,Finsall provides Insurance Premium Financing,300000.0
2015-01-01,Ahmedabad,Legaltech,"Shrijay Sheth, Gaurav Barot",ContCentric,Pre-Seed,Legalwiz.in,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.",500000.0
2018-01-01,Telangana,EdTech,Subbarao Siddabattula,Siana Capital,Series C,Practically,"Making Learning personal, immersive and experiental",4000000.0
2018-01-01,Bengaluru,Finance,Kunal Shah,"DST Global, General Catalyst",Series C,Cred,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,81000000.0
2018-01-01,Bengaluru,Pollution control equiptment,Dr Srikanth Sola,Blue Ashva Capital,Seed Funding,Devic Earth,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",1000000.0
2018-01-01,Gurugram,Finance,Jaijit Bhattacharya,Anthill Ventures,Venture - Series Unknown,Zerone,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",1300000.0
2016-01-01,Mumbai,Fashion & Lifestyle,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",Debt Financing,boAt,boAt is a lifestyle brand that deals in fashionable consumer electronics.,100000000.0
2013-01-01,Mumbai,Media,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group",Fresh Funding,Pocket Aces,Pocket Aces is a digital entertainment company focused on mobile video.,2000000.0
2020-01-01,Bengaluru,EdTech,"Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,Series A,Kyt,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids",5000000.0
2019-01-01,Bengaluru,Healthcare,"Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList",Series F,iMumz,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.",300000.0
2018-01-01,New Delhi,Finance,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",Series F,BharatPe,BharatPe develops a QR code-based payment app for offline retailers and businesses.,8200000.0
2010-01-01,Bengaluru,AgriTech,Krishna Kumar,"Invested Development, Pratithi Investment Trust",Series C,CropIn,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,20000000.0
2018-01-01,Haryana,Cosmetics,Prateek Ruhail,"Dhianu Das, Agility Venture Partners",Seed,Vanity Wagon,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",200000.0
2012-01-01,Gurugram,Hospitality,Ritesh Agarwal,Hindustan Media Venture,Series I,Oyo,OYO operates a branded network of hotels designed to offer standardized stay experiences.,7000000.0
2018-01-01,Pune,AgriTech,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,Seed,Agri10x,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,3000000.0
2016-01-01,Mumbai,Finance,Ankur Bansal,Awign Enterprises,Series D1,BlackSoil,Blacksoil Advisory is an independent boutique advisory firm.,4000000.0
2019-01-01,Mumbai,EdTech,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",Private Equity,HobSpace,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,100000.0
2020-01-01,New Delhi,EdTech,"Kartik Sharma, Ashish Aggarwal",S Chand,Series A+,DcodeAI,EMPOWER LEARNERS TO BE FUTURE READY USING AI,500000.0
1978-01-01,Bengaluru,BioTechnology,Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",Venture - Series Unknown,Biocon Biologics,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",70000000.0
2020-01-01,Mumbai,E-commerce,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,Bridge,KiranaKart,A better model for instant grocery delivery in India.,720000.0
2018-01-01,Gurugram,Healthcare,Saurabh Kochhar,"growX ventures, Venture Gurukool",Series C,Meddo,Meddo is an end-to-end medical services provider,3000000.0
2012-01-01,Chennai,EdTech,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,Series A,SP Robotic Works,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,3000000.0
2018-01-01,Gurugram,Transport,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,Series B,3SC,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,15000000.0
2018-01-01,Chennai,Food & Beverages,Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",Private Equity,Chai Waale,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",600000.0
2020-01-01,Jaipur,Cosmetics,"Mohit, Rahul Yadav",Sequoia Capital,Series A,Minimalist,Affordable skincare for all,10000000.0
2019-01-01,New Delhi,Finance,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",Series I,Biconomy,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,9000000.0
2018-01-01,Gurugram,Transport,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",We Founder Circle,Venture - Series Unknown,Fixcraft,India's Most Trusted Automotive Repair Brand,1000000.0
2016-01-01,Bengaluru,Financial Services,Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",Bridge,Slice,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",10000000.0
2015-01-01,Bengaluru,EdTech,Vingish Vijay,Pearl Investment LLC,Series A,90+ My Tuition App,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,5000000.0
2021-01-01,Bengaluru,Consulting,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",Seed,Wasabi,Help small businesses grow their sales via our customer interaction and growth platform.,1800000.0
2019-01-01,Bengaluru,Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",Series A,Strata,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,6000000.0
2020-01-01,Bengaluru,E-commerce,Pallavi Srivastava,VANS Group,Seed,Ourbetterplanet,A curated online marketplace for all things sustainable!,300000.0
2020-01-01,Bengaluru,SaaS startup,"Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,Seed,Murf.ai,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.",1500000.0
2014-01-01,Pune,Media,Rajan navani,Sachin Tendulkar,Series F,JetSynthesys,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",2000000.0
2019-01-01,Silvassa,Fitness,"Mohammad Patel, Rahil Virani",9Unicorns,Seed,MYFITNESS,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.",1000000.0
2020-01-01,Mumbai,Healthcare,Shilpa Rathi,Xentel Investments,Seed,I am Love,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",4000000.0
2015-01-01,Mumbai,D2C,"Darpan Sanghvi, Priyanka Gill",Accel Partners,Series A,MyGlamm,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,40000000.0
2019-01-01,Bengaluru,IT,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,Fresh Funding,Gumlet,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,1600000.0
2015-01-01,Bengaluru,Gaming,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",Series G,Eloelo,Creator-led Social Gaming & Live Streaming Platform,2000000.0
2020-01-01,Noida,EdTech,Chandrahas Panigrahi,"Auxano, Falcon5",Series B,Edukemy,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",2000000.0
2019-01-01,Gurugram,Mobility,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,Venture - Series Unknown,Zingbus,Zingbus is a renowned brand in the bus operating industry.,5000000.0
2018-01-01,Ahmedabad,Media,"Vineet Khanna, Varun Sadana, Aman Tekriwal",JITO Angel Network,Seed,NewsReach,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,300000.0
2017-01-01,Hyderabad,Finance,"VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,Seed Funding,Pencilton,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",330000.0
2020-01-01,Gurugram,IT,"Prashant Gupta, Sridhar Sundaram",Unitus Ventures,Pre-Seed,Bandhoo,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers",1000000.0
2007-01-01,Gurugram,IT,"Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",Series F,ixigo,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!",53000000.0
2019-01-01,Mumbai,Food & Beverages,Shashank Mehta,Sequoia Capital,Series A,The Whole Truth,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",6000000.0
2021-01-01,Bengaluru,Fitness,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,Seed,Insane AI,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,800000.0
2020-01-01,Jaipur,E-learning,Kamal Kant Gupta,IAN,Seed,Learn4o Technology,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",3000000.0
2014-01-01,Gurugram,Automobile,Sandeep Aggarwal,Elevation Capital,Series B+,Droom,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",200000000.0
2003-01-01,Noida,Environmental Services,Yogesh Patil,"Northern Arc, Caspian Impact Investments",Debt Financing,Skymet,Provide services that allow clients to understand and organize themselves around changing environment.,1000000.0
2019-01-01,Bengaluru,Consumer Services,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,Venture - Series Unknown,Go Swift,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,2000000.0
2016-01-01,Gurugram,Healthcare,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,Series H,Mamaearth,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,50000000.0
2021-01-01,Bengaluru,D2C,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",Series A,G.O.A.T,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,36000000.0
2017-01-01,Lucknow,Food & Beverages,"Sachin Sahni, Simran Sahni",Venture Catalysts,Private Equity,Keeros,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.",3000000.0
2016-01-01,Mumbai,Merchandise,"Smriti Dubey, Shikhar Vaidya",Anthill Ventures,Early Seed,ReDesyn,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",300000.0
2019-01-01,Pune,Facilities Services,"Sanket Nerkar, Paresh Kotkar",We Founder Circle,Pre-Seed,Inspacco,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services",200000.0
